dataset_name,adaptation_method,run_name,model_name,image_size,setting,n_train,k,threshold,positive_neighbors_needed,runs,classes_with_positive_train_examples_mean,mean_auc_mean,mean_auc_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,mean_accuracy_mean,exact_match_accuracy_mean
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,25-img,25,20,0.2,4,10,8.2,0.5201013435984831,0.013369996509303619,0.015348529646789625,0.015668928543893214,0.08513182481193428,0.08244022442167474,0.923134223829473,0.3518049737053213
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,25-img,25,20,0.3,6,10,8.2,0.5201013435984831,0.013369996509303619,0.0055609792695054195,0.013184328579965513,0.029073591150089832,0.07167550030426566,0.9438548126265391,0.4948123718691505
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,25-img,25,20,0.5,10,10,8.2,0.5201013435984831,0.013369996509303619,0.0,0.0,0.0,0.0,0.94920606623967,0.5418486496122649
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,1,0.01,1,10,11.1,0.5132152722280834,0.006971249973503836,0.06160669333939993,0.014004873614975226,0.11423010313137708,0.02510851161163178,0.9199024613856596,0.38488278812728405
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,1,0.03,1,10,11.1,0.5132152722280834,0.006971249973503836,0.06160669333939993,0.014004873614975226,0.11423010313137708,0.02510851161163178,0.9199024613856596,0.38488278812728405
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,1,0.05,1,10,11.1,0.5132152722280834,0.006971249973503836,0.06160669333939993,0.014004873614975226,0.11423010313137708,0.02510851161163178,0.9199024613856596,0.38488278812728405
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,1,0.1,1,10,11.1,0.5132152722280834,0.006971249973503836,0.06160669333939993,0.014004873614975226,0.11423010313137708,0.02510851161163178,0.9199024613856596,0.38488278812728405
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,1,0.15,1,10,11.1,0.5132152722280834,0.006971249973503836,0.06160669333939993,0.014004873614975226,0.11423010313137708,0.02510851161163178,0.9199024613856596,0.38488278812728405
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,1,0.2,1,10,11.1,0.5132152722280834,0.006971249973503836,0.06160669333939993,0.014004873614975226,0.11423010313137708,0.02510851161163178,0.9199024613856596,0.38488278812728405
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,1,0.3,1,10,11.1,0.5132152722280834,0.006971249973503836,0.06160669333939993,0.014004873614975226,0.11423010313137708,0.02510851161163178,0.9199024613856596,0.38488278812728405
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,1,0.5,1,10,11.1,0.5132152722280834,0.006971249973503836,0.06160669333939993,0.014004873614975226,0.11423010313137708,0.02510851161163178,0.9199024613856596,0.38488278812728405
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,3,0.01,1,10,11.1,0.5271434688964356,0.012524491985176214,0.08665340531589147,0.013030547679780503,0.15807896528079218,0.02202399339401916,0.8636343957317306,0.19273553792673143
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,3,0.03,1,10,11.1,0.5271434688964356,0.012524491985176214,0.08665340531589147,0.013030547679780503,0.15807896528079218,0.02202399339401916,0.8636343957317306,0.19273553792673143
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,3,0.05,1,10,11.1,0.5271434688964356,0.012524491985176214,0.08665340531589147,0.013030547679780503,0.15807896528079218,0.02202399339401916,0.8636343957317306,0.19273553792673143
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,3,0.1,1,10,11.1,0.5271434688964356,0.012524491985176214,0.08665340531589147,0.013030547679780503,0.15807896528079218,0.02202399339401916,0.8636343957317306,0.19273553792673143
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,3,0.15,1,10,11.1,0.5271434688964356,0.012524491985176214,0.08665340531589147,0.013030547679780503,0.15807896528079218,0.02202399339401916,0.8636343957317306,0.19273553792673143
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,3,0.2,1,10,11.1,0.5271434688964356,0.012524491985176214,0.08665340531589147,0.013030547679780503,0.15807896528079218,0.02202399339401916,0.8636343957317306,0.19273553792673143
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,3,0.3,1,10,11.1,0.5271434688964356,0.012524491985176214,0.08665340531589147,0.013030547679780503,0.15807896528079218,0.02202399339401916,0.8636343957317306,0.19273553792673143
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,3,0.5,2,10,11.1,0.5271434688964356,0.012524491985176214,0.024623390123877587,0.014698814172177235,0.06007292745570795,0.0335024820002267,0.9437828683483376,0.5025938140654247
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,50,5,0.01,1,10,11.1,0.5360955473256015,0.014325379219485016,0.09407755832965306,0.01078271470600594,0.16523681534408205,0.017850404059910507,0.8114034864324552,0.09728139762902219
