dataset_name,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,neighbor_fraction,classes_with_positive_train_examples,mean_auc,mean_accuracy,exact_match_accuracy,f1_macro,f1_micro
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,25-img,8,25,5,0.05,1,0.2,7,0.5205414233141588,0.86727235684362,0.15233086727872358,0.07949469313706779,0.19282146590777094
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,25-img,9,25,5,0.05,1,0.2,9,0.5351974905693487,0.7938000585741027,0.05223281932436046,0.07952957799040916,0.14674500092209605
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,0,50,10,0.05,1,0.2,10,0.5321539443669563,0.7326856226045102,0.015687672698101434,0.09039233372346057,0.15842854279414711
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,1,50,10,0.05,1,0.2,11,0.562789074453672,0.6328613449123298,0.0027631696229610484,0.10006322127423227,0.1592920353982301
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,2,50,10,0.05,1,0.2,13,0.5422729862241582,0.6971400557727324,0.0049915322221231835,0.09986262426633377,0.1684758858181691
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,3,50,10,0.05,1,0.2,12,0.565272323633309,0.7430124915640558,0.054639450931455565,0.10760106782447341,0.18221970096033063
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,4,50,10,0.05,1,0.2,11,0.5366864295056527,0.6992856506182115,0.019609590872626793,0.08909297609922022,0.13519847663688297
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,5,50,10,0.05,1,0.2,11,0.5567669975727852,0.7044172513465677,0.0027631696229610484,0.10432565547736646,0.1704013437689861
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,6,50,10,0.05,1,0.2,12,0.5628945746051465,0.728349865661569,0.0021392280951956504,0.10563825072398454,0.16183086140850603
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,7,50,10,0.05,1,0.2,10,0.5154636268190514,0.6427489081023264,0.0019609590872626793,0.08458899830483942,0.14775212636695018
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,8,50,10,0.05,1,0.2,10,0.5389437988811505,0.7168833484013089,0.019609590872626793,0.08897606798905203,0.1488726409677296
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,50-img,9,50,10,0.05,1,0.2,11,0.5542838138950915,0.6975411610405817,0.009002584900615028,0.094810369801705,0.1611752657414274
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,100-img,0,100,20,0.05,1,0.2,12,0.5645042835243101,0.5171010912609985,0.0,0.09895303247745946,0.14216723028376896
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,100-img,1,100,20,0.05,1,0.2,13,0.5741549352962924,0.5284148065144588,0.0,0.10455661228097395,0.14272817758848175
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,100-img,2,100,20,0.05,1,0.2,13,0.5739094432771957,0.5491640456878001,8.913450396648542e-05,0.1059807397384838,0.14844567374180748
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,100-img,3,100,20,0.05,1,0.2,12,0.5804248054638302,0.6848967949779073,0.016222479721900347,0.1133248277479754,0.179101011776414
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,100-img,4,100,20,0.05,1,0.2,13,0.5527201894669694,0.5167190862439993,0.0016044210713967377,0.1031814773301968,0.12889750857824855
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,100-img,5,100,20,0.05,1,0.2,12,0.584219834262565,0.6108833229343079,0.00017826900793297085,0.10434170603080482,0.1634569320686021
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,100-img,6,100,20,0.05,1,0.2,13,0.5894380247847774,0.5565940432684349,0.0,0.11122216100705506,0.15371716042481834
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,100-img,7,100,20,0.05,1,0.2,13,0.5731859370423364,0.48477710007258096,0.0,0.09918901302560054,0.14231812786162457
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,100-img,8,100,20,0.05,1,0.2,13,0.5708113414800284,0.571797842945004,0.0,0.10928788691251927,0.1462157564678701
