dataset_name,adaptation_method,run_name,model_name,image_size,setting,n_train,k,threshold,positive_neighbors_needed,runs,classes_with_positive_train_examples_mean,mean_auc_mean,mean_auc_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,mean_accuracy_mean,exact_match_accuracy_mean
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,5-img,5,5,0.01,1,10,3.1,0.5,0.0,0.035618958612809976,0.019860516540893346,0.1382002783033453,0.067892852730952,0.7678396342938638,0.06642303235582495
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,5-img,5,5,0.03,1,10,3.1,0.5,0.0,0.035618958612809976,0.019860516540893346,0.1382002783033453,0.067892852730952,0.7678396342938638,0.06642303235582495
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,5-img,5,5,0.05,1,10,3.1,0.5,0.0,0.035618958612809976,0.019860516540893346,0.1382002783033453,0.067892852730952,0.7678396342938638,0.06642303235582495
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,5-img,5,5,0.1,1,10,3.1,0.5,0.0,0.035618958612809976,0.019860516540893346,0.1382002783033453,0.067892852730952,0.7678396342938638,0.06642303235582495
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,5-img,5,5,0.15,1,10,3.1,0.5,0.0,0.035618958612809976,0.019860516540893346,0.1382002783033453,0.067892852730952,0.7678396342938638,0.06642303235582495
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,5-img,5,5,0.2,1,10,3.1,0.5,0.0,0.035618958612809976,0.019860516540893346,0.1382002783033453,0.067892852730952,0.7678396342938638,0.06642303235582495
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,5-img,5,5,0.3,2,10,3.1,0.5,0.0,0.012075477955302744,0.014692203009909546,0.08853478847203929,0.09857097728161121,0.9130550214559484,0.28980301274623405
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,5-img,5,5,0.5,3,10,3.1,0.5,0.0,0.002177878025879839,0.006887055027811426,0.021024118351825806,0.06648409978871479,0.9446328295111609,0.49653266779570365
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,10-img,10,1,0.01,1,10,4.9,0.5039535203203005,0.003673968039289238,0.02776117978209152,0.015078775974766352,0.06907442382851471,0.04201749034744759,0.921782562744324,0.38818967822444067
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,10-img,10,1,0.03,1,10,4.9,0.5039535203203005,0.003673968039289238,0.02776117978209152,0.015078775974766352,0.06907442382851471,0.04201749034744759,0.921782562744324,0.38818967822444067
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,10-img,10,1,0.05,1,10,4.9,0.5039535203203005,0.003673968039289238,0.02776117978209152,0.015078775974766352,0.06907442382851471,0.04201749034744759,0.921782562744324,0.38818967822444067
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,10-img,10,1,0.1,1,10,4.9,0.5039535203203005,0.003673968039289238,0.02776117978209152,0.015078775974766352,0.06907442382851471,0.04201749034744759,0.921782562744324,0.38818967822444067
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,10-img,10,1,0.15,1,10,4.9,0.5039535203203005,0.003673968039289238,0.02776117978209152,0.015078775974766352,0.06907442382851471,0.04201749034744759,0.921782562744324,0.38818967822444067
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,10-img,10,1,0.2,1,10,4.9,0.5039535203203005,0.003673968039289238,0.02776117978209152,0.015078775974766352,0.06907442382851471,0.04201749034744759,0.921782562744324,0.38818967822444067
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,10-img,10,1,0.3,1,10,4.9,0.5039535203203005,0.003673968039289238,0.02776117978209152,0.015078775974766352,0.06907442382851471,0.04201749034744759,0.921782562744324,0.38818967822444067
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,10-img,10,1,0.5,1,10,4.9,0.5039535203203005,0.003673968039289238,0.02776117978209152,0.015078775974766352,0.06907442382851471,0.04201749034744759,0.921782562744324,0.38818967822444067
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,10-img,10,3,0.01,1,10,4.9,0.5087376601715721,0.0049617172485159275,0.044197829120823935,0.01801447479479064,0.12278940815903475,0.05125465800017841,0.8611469063960374,0.17507799269097069
