dataset_name,adaptation_method,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,class_name,true_positive_rate,predicted_positive_rate,accuracy,f1,auc
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,50,0.5,25,hernia,0.0036545146722346544,0.0,0.9963454853373741,0.0,0.5999578876626126
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.01,1,atelectasis,0.09974151104688644,0.955700159072876,0.14297174436224264,0.18799087914872054,0.749383024093294
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.01,1,cardiomegaly,0.021392280235886574,0.6190391182899475,0.39967911578572063,0.06263048016701461,0.8364694340711054
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.01,1,effusion,0.11516177654266357,0.9269096851348877,0.18718245832961938,0.21999828928235396,0.821200374186671
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.01,1,infiltration,0.17987342178821564,0.9994651675224304,0.1804082360281665,0.30504119114201494,0.651449986745742
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.01,1,mass,0.05570906400680542,0.8946430087089539,0.1583920135484446,0.11442506096417182,0.7649242212573155
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.01,1,nodule,0.05463945120573044,0.9795882105827332,0.07326856226045102,0.10393863655951047,0.6135619469911303
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.01,1,pneumonia,0.011854888871312141,0.5629734992980957,0.4435332917372315,0.03194293688944022,0.6576770267722345
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.01,1,pneumothorax,0.04492378979921341,0.7986451387405396,0.24289152330867278,0.10249366018596788,0.7834052729818014
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.01,1,consolidation,0.0398431234061718,0.8021214008331299,0.2341563419199572,0.09040863857717553,0.7686399655748477
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.01,1,edema,0.017826899886131287,0.4884570837020874,0.5266957839379623,0.06514084507042253,0.8588258916417097
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.01,1,emphysema,0.018539976328611374,0.6379356384277344,0.37757375880203226,0.05186693822131704,0.7414940828402368
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.01,1,fibrosis,0.01479632779955864,0.6497905254364014,0.3596577235047687,0.03648068669527897,0.6715158834923517
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.01,1,pleural,0.03315803408622742,0.796684205532074,0.23290845886442643,0.07561761546723952,0.719053804084376
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.01,1,hernia,0.0036545146722346544,0.13539531826972961,0.8646938229788751,0.026923076923076925,0.6961278469467465
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.03,3,atelectasis,0.09974151104688644,0.8105000257492065,0.2833585881094572,0.21269095182138661,0.749383024093294
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.03,3,cardiomegaly,0.021392280235886574,0.27578216791152954,0.736518406275069,0.11337732453509299,0.8364694340711054
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.03,3,effusion,0.11516177654266357,0.7187806367874146,0.38889384080577594,0.2672082086361693,0.821200374186671
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.03,3,infiltration,0.17987342178821564,0.989660382270813,0.18860861039308316,0.3062266595533877,0.651449986745742
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.03,3,mass,0.05570906400680542,0.5575363039970398,0.4812371869150548,0.15406976744186046,0.7649242212573155
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.03,3,nodule,0.05463945120573044,0.79659503698349,0.2446742133880025,0.11267015706806283,0.6135619469911303
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.03,3,pneumonia,0.011854888871312141,0.13316695392131805,0.862643729387646,0.0528580208973571,0.6576770267722345
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.03,3,pneumothorax,0.04492378979921341,0.4718780517578125,0.5596755504055619,0.14798206278026907,0.7834052729818014
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.03,3,consolidation,0.0398431234061718,0.44540512561798096,0.5816026383813174,0.13776634827332843,0.7686399655748477
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.03,3,edema,0.017826899886131287,0.2272038459777832,0.7838488278812729,0.11786104037831939,0.8588258916417097
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.03,3,emphysema,0.018539976328611374,0.28148674964904785,0.7227916926642304,0.07605466428995841,0.7414940828402368
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.03,3,fibrosis,0.01479632779955864,0.21365541219711304,0.7852749799447366,0.060085836909871244,0.6715158834923517
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.03,3,pleural,0.03315803408622742,0.37329530715942383,0.639005258935734,0.1118421052631579,0.719053804084376
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.03,3,hernia,0.0036545146722346544,0.006595953367650509,0.9904626080755861,0.06956521739130435,0.6961278469467465
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.05,5,atelectasis,0.09974151104688644,0.6117300987243652,0.4653712452090204,0.24855925833124531,0.749383024093294
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.05,5,cardiomegaly,0.021392280235886574,0.0966218039393425,0.9058739638113914,0.20241691842900303,0.8364694340711054
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.05,5,effusion,0.11516177654266357,0.5181388854980469,0.575274088599697,0.32934553131597466,0.821200374186671
