dataset_name,adaptation_method,run_name,model_name,image_size,setting,n_train,k,threshold,positive_neighbors_needed,runs,classes_with_positive_train_examples_mean,mean_auc_mean,mean_auc_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,mean_accuracy_mean,exact_match_accuracy_mean
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,1,0.1,1,10,7.6,0.5126922608346012,0.00896556452114589,0.05317596292438338,0.017614194511711492,0.12023517073404873,0.043129328782350825,0.9182222759858913,0.3809608699527587
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,1,0.15,1,10,7.6,0.5126922608346012,0.00896556452114589,0.05317596292438338,0.017614194511711492,0.12023517073404873,0.043129328782350825,0.9182222759858913,0.3809608699527587
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,1,0.2,1,10,7.6,0.5126922608346012,0.00896556452114589,0.05317596292438338,0.017614194511711492,0.12023517073404873,0.043129328782350825,0.9182222759858913,0.3809608699527587
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,1,0.3,1,10,7.6,0.5126922608346012,0.00896556452114589,0.05317596292438338,0.017614194511711492,0.12023517073404873,0.043129328782350825,0.9182222759858913,0.3809608699527587
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,1,0.5,1,10,7.6,0.5126922608346012,0.00896556452114589,0.05317596292438338,0.017614194511711492,0.12023517073404873,0.043129328782350825,0.9182222759858913,0.3809608699527587
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,3,0.01,1,10,7.6,0.5244076439271154,0.013644760138315962,0.07193564421604824,0.01599209144020963,0.1589916539467813,0.04065395649134293,0.8622623610456751,0.18919689811926196
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,3,0.03,1,10,7.6,0.5244076439271154,0.013644760138315962,0.07193564421604824,0.01599209144020963,0.1589916539467813,0.04065395649134293,0.8622623610456751,0.18919689811926196
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,3,0.05,1,10,7.6,0.5244076439271154,0.013644760138315962,0.07193564421604824,0.01599209144020963,0.1589916539467813,0.04065395649134293,0.8622623610456751,0.18919689811926196
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,3,0.1,1,10,7.6,0.5244076439271154,0.013644760138315962,0.07193564421604824,0.01599209144020963,0.1589916539467813,0.04065395649134293,0.8622623610456751,0.18919689811926196
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,3,0.15,1,10,7.6,0.5244076439271154,0.013644760138315962,0.07193564421604824,0.01599209144020963,0.1589916539467813,0.04065395649134293,0.8622623610456751,0.18919689811926196
